CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0093,0.9999999900880265
C0001,C0131,0.9999999892627299
C0001,C0005,0.9999999866567792
C0002,C0034,0.9999999629063155
C0002,C0030,0.9999999409595861
C0002,C0071,0.9999998683489932
C0003,C0176,0.9999999540965261
C0003,C0073,0.9999999511930292
C0003,C0062,0.9999999290535498
C0004,C0175,0.9999999838259929
C0004,C0195,0.9999999797512584
C0004,C0072,0.999999978622934
C0005,C0067,0.9999999997761986
C0005,C0001,0.9999999866567792
C0005,C0178,0.9999999852351241
C0006,C0079,0.9999999998494674
C0006,C0188,0.999999981887471
C0006,C0170,0.9999999719582139
C0007,C0183,0.9999999906542156
C0007,C0064,0.9999999898225456
C0007,C0170,0.9999999864851293
C0008,C0047,0.9999999775866003
C0008,C0199,0.9999999369201871
C0008,C0076,0.999999918819975
C0009,C0058,0.9999992795801733
C0009,C0198,0.9999992683596722
C0009,C0128,0.9999991295689356
C0010,C0091,0.9999995203782475
C0010,C0049,0.9999992943158081
C0010,C0134,0.999999290599915
C0011,C0057,0.999999995967828
C0011,C0173,0.9999999917666114
C0011,C0122,0.9999999901342581
C0012,C0101,0.9999999925248783
C0012,C0041,0.9999999911738461
C0012,C0018,0.9999999846726879
C0013,C0059,0.999999996745394
C0013,C0099,0.9999999901794172
C0013,C0054,0.9999999851677175
C0014,C0043,0.9999992904003443
C0014,C0083,0.9999988294720996
C0014,C0094,0.9999987662054571
C0015,C0150,0.9999999999319211
C0015,C0130,0.9999999873277015
C0015,C0164,0.99999987704549
C0016,C0042,0.9999999939383158
C0016,C0100,0.9999999719598995
C0016,C0051,0.999999969845446
C0017,C0124,0.999999988910837
C0017,C0106,0.9999999837597399
C0017,C0072,0.9999999811258774
C0018,C0041,0.9999999951496074
C0018,C0045,0.9999999909715748
C0018,C0012,0.9999999846726879
C0019,C0008,0.9999998568234055
C0019,C0047,0.9999998177628666
C0019,C0147,0.9999998148227156
C0020,C0135,0.9999999715483663
C0020,C0048,0.9999999667351622
C0020,C0200,0.9999999637406969
C0021,C0183,0.9999999832187365
C0021,C0108,0.9999999790180136
C0021,C0137,0.9999999767192185
C0022,C0135,0.9999999946135497
C0022,C0064,0.9999999918740565
C0022,C0107,0.9999999914191792
C0023,C0141,0.999999957335435
C0023,C0013,0.9999999528443682
C0023,C0059,0.9999999511575526
C0024,C0081,0.9999999675092824
C0024,C0186,0.9999999672504515
C0024,C0090,0.9999999622875736
C0025,C0157,0.9999999029837005
C0025,C0071,0.9999998238183249
C0025,C0088,0.9999998076493015
C0026,C0200,0.9999999968978652
C0026,C0053,0.999999995671966
C0026,C0182,0.9999999910099896
C0027,C0197,0.9999999909483306
C0027,C0166,0.999999985893311
C0027,C0190,0.9999999787583154
C0028,C0143,0.9999999897932436
C0028,C0148,0.9999999741871434
C0028,C0092,0.9999999697451851
C0029,C0157,0.9999998700394371
C0029,C0002,0.9999997853219995
C0029,C0071,0.9999997819196166
C0030,C0071,0.9999999470084463
C0030,C0031,0.99999994216014
C0030,C0002,0.9999999409595861
C0031,C0071,0.9999999868191422
C0031,C0086,0.9999999471851627
C0031,C0030,0.99999994216014
C0032,C0121,0.9999986826765656
C0032,C0083,0.9999983440725209
C0032,C0094,0.99999764963251
C0033,C0151,0.9999866849286798
C0033,C0097,0.9999694588124295
C0033,C0032,0.9999612665494114
C0034,C0002,0.9999999629063155
C0034,C0109,0.9999999159988531
C0034,C0030,0.9999998861301642
C0035,C0179,0.9999999927426375
C0035,C0081,0.9999999847816154
C0035,C0186,0.9999999814254835
C0036,C0055,0.9999999670245181
C0036,C0189,0.9999999483588793
C0036,C0095,0.9999999311620573
C0037,C0087,0.9999999924000832
C0037,C0099,0.9999999859926871
C0037,C0105,0.9999999849077982
C0038,C0160,0.9999999869865975
C0038,C0142,0.9999999819565434
C0038,C0075,0.999999948080588
C0039,C0169,0.9999999801345761
C0039,C0112,0.9999999770318899
C0039,C0195,0.9999999768404434
C0040,C0196,0.999999984192057
C0040,C0066,0.9999999476034956
C0040,C0168,0.999999942303387
C0041,C0045,0.9999999964530512
C0041,C0018,0.9999999951496074
C0041,C0012,0.9999999911738461
C0042,C0016,0.9999999939383158
C0042,C0158,0.9999999819433093
C0042,C0187,0.9999999635346326
C0043,C0025,0.9999996615294008
C0043,C0157,0.9999994454831354
C0043,C0029,0.9999993990577185
C0044,C0078,0.9999999817645462
C0044,C0158,0.9999999493445284
C0044,C0187,0.9999999255022453
C0045,C0041,0.9999999964530512
C0045,C0070,0.9999999926185142
C0045,C0018,0.9999999909715748
C0046,C0145,0.9999999953733981
C0046,C0105,0.9999999950829663
C0046,C0125,0.9999999940570017
C0047,C0008,0.9999999775866003
C0047,C0098,0.9999999664147523
C0047,C0161,0.9999999655498424
C0048,C0135,0.999999993714374
C0048,C0022,0.9999999782219221
C0048,C0020,0.9999999667351622
C0049,C0010,0.9999992943158081
C0049,C0094,0.9999991181281085
C0049,C0111,0.9999990138845288
C0050,C0115,0.9999999980595329
C0050,C0096,0.9999999752809778
C0050,C0079,0.9999999746227819
C0051,C0100,0.9999999947709943
C0051,C0126,0.9999999944937029
C0051,C0059,0.9999999729210884
C0052,C0045,0.9999999693533193
C0052,C0070,0.9999999676427673
C0052,C0133,0.999999956388068
C0053,C0149,0.99999999724288
C0053,C0026,0.999999995671966
C0053,C0102,0.9999999941558003
C0054,C0188,0.9999999973228028
C0054,C0082,0.9999999956712169
C0054,C0059,0.9999999883050975
C0055,C0189,0.9999999827663077
C0055,C0036,0.9999999670245181
C0055,C0186,0.999999938492463
C0056,C0159,0.9999999880840794
C0056,C0090,0.9999999877842387
C0056,C0179,0.999999983844267
C0057,C0011,0.999999995967828
C0057,C0001,0.999999984565796
C0057,C0005,0.9999999795956567
C0058,C0198,0.9999996155742049
C0058,C0009,0.9999992795801733
C0058,C0103,0.9999989763199225
C0059,C0013,0.999999996745394
C0059,C0188,0.9999999891132668
C0059,C0054,0.9999999883050975
C0060,C0033,0.9999365236703514
C0060,C0151,0.9999205222987552
C0060,C0097,0.999831703542187
C0061,C0152,0.9999999851984225
C0061,C0100,0.999999969960694
C0061,C0051,0.999999957445298
C0062,C0073,0.9999999407305293
C0062,C0003,0.9999999290535498
C0062,C0027,0.9999999212327554
C0063,C0093,0.9999999969871809
C0063,C0001,0.9999999837073582
C0063,C0011,0.9999999805872626
C0064,C0183,0.9999999923445617
C0064,C0022,0.9999999918740565
C0064,C0104,0.9999999903614433
C0065,C0153,0.9999999969494082
C0065,C0156,0.9999999895489561
C0065,C0193,0.9999999892096614
C0066,C0168,0.9999999914447226
C0066,C0196,0.999999978774031
C0066,C0141,0.9999999647505377
C0067,C0005,0.9999999997761986
C0067,C0178,0.9999999865589626
C0067,C0001,0.9999999842221338
C0068,C0193,0.9999999990002958
C0068,C0156,0.99999999734708
C0068,C0120,0.9999999877708804
C0069,C0191,0.9999999781503909
C0069,C0093,0.9999999660586704
C0069,C0127,0.9999999631851701
C0070,C0045,0.9999999926185142
C0070,C0133,0.9999999925139771
C0070,C0041,0.9999999849842961
C0071,C0031,0.9999999868191422
C0071,C0076,0.9999999501211536
C0071,C0030,0.9999999470084463
C0072,C0124,0.9999999916050377
C0072,C0175,0.9999999872579266
C0072,C0017,0.9999999811258774
C0073,C0197,0.9999999754280515
C0073,C0027,0.9999999599135582
C0073,C0075,0.9999999532903737
C0074,C0140,0.9999999935828486
C0074,C0185,0.9999999887501575
C0074,C0085,0.9999999673330761
C0075,C0160,0.9999999856199894
C0075,C0113,0.9999999624211112
C0075,C0136,0.9999999610907042
C0076,C0088,0.9999999727289863
C0076,C0071,0.9999999501211536
C0076,C0199,0.9999999405513291
C0077,C0094,0.9999997614912509
C0077,C0121,0.9999996146608372
C0077,C0111,0.9999993534091595
C0078,C0044,0.9999999817645462
C0078,C0158,0.9999998928352637
C0078,C0187,0.9999998635175203
C0079,C0006,0.9999999998494674
C0079,C0188,0.9999999802879769
C0079,C0050,0.9999999746227819
C0080,C0117,0.9999999999989062
C0080,C0170,0.9999999812662508
C0080,C0007,0.999999954274662
C0081,C0186,0.9999999997065746
C0081,C0179,0.9999999909827113
C0081,C0035,0.9999999847816154
C0082,C0054,0.9999999956712169
C0082,C0188,0.9999999940757422
C0082,C0114,0.9999999818744427
C0083,C0119,0.999999007703788
C0083,C0014,0.9999988294720996
C0083,C0032,0.9999983440725209
C0084,C0124,0.9999999856917807
C0084,C0072,0.9999999765639728
C0084,C0017,0.9999999755265455
C0085,C0140,0.9999999898548702
C0085,C0074,0.9999999673330761
C0085,C0061,0.9999999388391659
C0086,C0190,0.9999999838329311
C0086,C0166,0.9999999567739837
C0086,C0031,0.9999999471851627
C0087,C0037,0.9999999924000832
C0087,C0148,0.9999999845581053
C0087,C0092,0.9999999759369416
C0088,C0076,0.9999999727289863
C0088,C0161,0.9999999445878476
C0088,C0098,0.9999999408480817
C0089,C0096,0.999999988495279
C0089,C0141,0.9999999661209643
C0089,C0171,0.9999999470639505
C0090,C0179,0.9999999899807631
C0090,C0056,0.9999999877842387
C0090,C0081,0.999999983126579
C0091,C0134,0.999999859894679
C0091,C0144,0.9999998024339608
C0091,C0109,0.9999998008821038
C0092,C0148,0.9999999903184261
C0092,C0143,0.9999999874434251
C0092,C0149,0.9999999859588224
C0093,C0063,0.9999999969871809
C0093,C0001,0.9999999900880265
C0093,C0191,0.9999999805183366
C0094,C0077,0.9999997614912509
C0094,C0121,0.9999995186547866
C0094,C0111,0.9999993743845552
C0095,C0036,0.9999999311620573
C0095,C0192,0.9999999240067212
C0095,C0129,0.99999992327535
C0096,C0089,0.999999988495279
C0096,C0141,0.9999999809207338
C0096,C0115,0.9999999772866633
C0097,C0032,0.9999920761574088
C0097,C0083,0.9999874146750504
C0097,C0121,0.9999857628526629
C0098,C0161,0.999999999632588
C0098,C0172,0.9999999710599339
C0098,C0047,0.9999999664147523
C0099,C0013,0.9999999901794172
C0099,C0155,0.9999999871476911
C0099,C0037,0.9999999859926871
C0100,C0051,0.9999999947709943
C0100,C0126,0.9999999820369903
C0100,C0016,0.9999999719598995
C0101,C0153,0.9999999927202087
C0101,C0012,0.9999999925248783
C0101,C0120,0.9999999888985318
C0102,C0149,0.9999999993833333
C0102,C0145,0.9999999957770833
C0102,C0053,0.9999999941558003
C0103,C0118,0.9999999559842356
C0103,C0154,0.9999998981178777
C0103,C0184,0.9999998851741871
C0104,C0155,0.9999999945992006
C0104,C0064,0.9999999903614433
C0104,C0105,0.9999999900756834
C0105,C0046,0.9999999950829663
C0105,C0125,0.9999999935361134
C0105,C0104,0.9999999900756834
C0106,C0017,0.9999999837597399
C0106,C0181,0.9999999789771152
C0106,C0166,0.9999999623102139
C0107,C0122,0.9999999984271287
C0107,C0022,0.9999999914191792
C0107,C0125,0.9999999860240166
C0108,C0137,0.9999999982238243
C0108,C0125,0.9999999917248995
C0108,C0173,0.9999999850514021
C0109,C0134,0.9999999890824526
C0109,C0034,0.9999999159988531
C0109,C0091,0.9999998008821038
C0110,C0132,0.9999999967049228
C0110,C0169,0.9999999356668906
C0110,C0052,0.9999999309953511
C0111,C0094,0.9999993743845552
C0111,C0077,0.9999993534091595
C0111,C0049,0.9999990138845288
C0112,C0174,0.9999999780397976
C0112,C0039,0.9999999770318899
C0112,C0186,0.9999999726937883
C0113,C0169,0.9999999772914996
C0113,C0197,0.9999999692691764
C0113,C0124,0.9999999676294811
C0114,C0082,0.9999999818744427
C0114,C0170,0.9999999792079914
C0114,C0138,0.9999999725727199
C0115,C0050,0.9999999980595329
C0115,C0187,0.9999999781101857
C0115,C0096,0.9999999772866633
C0116,C0192,0.9999999617953595
C0116,C0189,0.9999999426903401
C0116,C0024,0.99999990161303
C0117,C0080,0.9999999999989062
C0117,C0170,0.9999999812792425
C0117,C0007,0.9999999544177015
C0118,C0154,0.9999999866667532
C0118,C0146,0.9999999616812972
C0118,C0103,0.9999999559842356
C0119,C0083,0.999999007703788
C0119,C0043,0.9999987627312017
C0119,C0147,0.9999986311728181
C0120,C0153,0.9999999967628772
C0120,C0156,0.9999999951041122
C0120,C0193,0.9999999907279085
C0121,C0077,0.9999996146608372
C0121,C0094,0.9999995186547866
C0121,C0032,0.9999986826765656
C0122,C0107,0.9999999984271287
C0122,C0125,0.9999999925922948
C0122,C0173,0.9999999907670295
C0123,C0146,0.9999999252015147
C0123,C0154,0.9999999145482136
C0123,C0118,0.9999999130203575
C0124,C0072,0.9999999916050377
C0124,C0017,0.999999988910837
C0124,C0084,0.9999999856917807
C0125,C0173,0.9999999960652152
